key,message,comment,context
"Code","Código","",""
"Name","Nombre","",""
"Ámbito creador","Ámbito creador","",""
"Ámbito responsable","Ámbito responsable","",""
"Clase que maneja los eventos","Clase que maneja los eventos","",""
"Tramite","Tramite","",""
"Estados","Estados","",""
"Código del estado","Código del estado","",""
"Perfil","Perfil","",""
"Tipo expediente","Tipo expediente","",""
"Creador","Creador","",""
"Responsable","Responsable","",""
"Secretario","Secretario","",""
"Director","Director","",""
"Auditor","Auditor","",""
"Centro","Centro","",""
"Departamento","Departamento","",""
"Ciclo","Ciclo","",""
"Curso","Curso","",""
"Grupo","Grupo","",""
"Módulo","Módulo","",""
"Individual","Individual","",""
"Tipo de Expediente","Tipo de Expediente","",""
"Num. Exped.","Num. Exped.","",""
"Estado","Estado","",""
"Fecha último estado","Fecha último estado","",""
"Cerrado","Cerrado","",""
"Historial estados","Historial estados","",""
"Ayuda","Ayuda","",""
"Tipo de expediente por defecto","Tipo de expediente por defecto","",""
"Tipo tramite","Tipo tramite","",""
"Publico","Publico","",""
"Privado","Privado","",""
"Profesor","Profesor","",""
"Alumno","Alumno","",""
"Tutor","Tutor","",""
"Dirección","Dirección","",""
"Administrativo","Administrativo","",""
"Conserje","Conserje","",""
"Código estado","Código estado","",""
"Código Evento","Código Evento","",""
"Evento","Evento","",""
"Expediente","Expediente","",""
"Fecha","Fecha","",""
"Valores Ámbito del Creador","Valores Ámbito del Creador","",""
"Valores Ámbito del Responsable","Valores Ámbito del Responsable","",""
